,date,FFR
5993,1985-01-21,8.125
5994,1985-01-22,8.125
5995,1985-01-23,8.125
5996,1985-01-24,8.25
5997,1985-01-25,8.25
5998,1985-01-26,8.25
5999,1985-01-27,8.25
6000,1985-01-28,8.25
6001,1985-01-29,8.25
6002,1985-01-30,8.25
6003,1985-01-31,8.25
6004,1985-02-01,8.25
6005,1985-02-02,8.25
6006,1985-02-03,8.25
6007,1985-02-04,8.25
6008,1985-02-05,8.25
6009,1985-02-06,8.25
6010,1985-02-07,8.25
6011,1985-02-08,8.25
6012,1985-02-09,8.25
6013,1985-02-10,8.25
6014,1985-02-11,8.25
6015,1985-02-12,8.25
6016,1985-02-13,8.25
6017,1985-02-14,8.375
6018,1985-02-15,8.375
6019,1985-02-16,8.375
6020,1985-02-17,8.375
6021,1985-02-18,8.375
6022,1985-02-19,8.375
6023,1985-02-20,8.375
6024,1985-02-21,8.375
6025,1985-02-22,8.375
6026,1985-02-23,8.375
6027,1985-02-24,8.375
6028,1985-02-25,8.375
6029,1985-02-26,8.375
6030,1985-02-27,8.375
6031,1985-02-28,8.375
6032,1985-03-01,8.375
6033,1985-03-02,8.375
6034,1985-03-03,8.375
6035,1985-03-04,8.375
6036,1985-03-05,8.375
6037,1985-03-06,8.375
6038,1985-03-07,8.375
6039,1985-03-08,8.375
6040,1985-03-09,8.375
6041,1985-03-10,8.375
6042,1985-03-11,8.375
6043,1985-03-12,8.375
6044,1985-03-13,8.375
6045,1985-03-14,8.375
6046,1985-03-15,8.375
6047,1985-03-16,8.375
6048,1985-03-17,8.375
6049,1985-03-18,8.375
6050,1985-03-19,8.375
6051,1985-03-20,8.375
6052,1985-03-21,8.375
6053,1985-03-22,8.375
6054,1985-03-23,8.375
6055,1985-03-24,8.375
6056,1985-03-25,8.375
6057,1985-03-26,8.375
6058,1985-03-27,8.375
6059,1985-03-28,8.5
6060,1985-03-29,8.5
6061,1985-03-30,8.5
6062,1985-03-31,8.5
6063,1985-04-01,8.5
6064,1985-04-02,8.5
6065,1985-04-03,8.5
6066,1985-04-04,8.5
6067,1985-04-05,8.5
6068,1985-04-06,8.5
6069,1985-04-07,8.5
6070,1985-04-08,8.5
6071,1985-04-09,8.5
6072,1985-04-10,8.5
6073,1985-04-11,8.5
6074,1985-04-12,8.5
6075,1985-04-13,8.5
6076,1985-04-14,8.5
6077,1985-04-15,8.5
6078,1985-04-16,8.5
6079,1985-04-17,8.5
6080,1985-04-18,8.5
6081,1985-04-19,8.5
6082,1985-04-20,8.5
6083,1985-04-21,8.5
6084,1985-04-22,8.5
6085,1985-04-23,8.5
6086,1985-04-24,8.5
6087,1985-04-25,8.25
6088,1985-04-26,8.25
6089,1985-04-27,8.25
6090,1985-04-28,8.25
6091,1985-04-29,8.25
6092,1985-04-30,8.25
6093,1985-05-01,8.25
6094,1985-05-02,8.25
6095,1985-05-03,8.25
6096,1985-05-04,8.25
6097,1985-05-05,8.25
6098,1985-05-06,8.25
6099,1985-05-07,8.25
6100,1985-05-08,8.25
6101,1985-05-09,8.25
6102,1985-05-10,8.25
6103,1985-05-11,8.25
6104,1985-05-12,8.25
6105,1985-05-13,8.25
6106,1985-05-14,8.25
6107,1985-05-15,8.25
6108,1985-05-16,8.25
6109,1985-05-17,8.25
6110,1985-05-18,8.25
6111,1985-05-19,8.25
6112,1985-05-20,7.75
6113,1985-05-21,7.75
6114,1985-05-22,7.75
